# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416379497;31115288;233409136;88.24;103460;30178076;207650900;76.09
axle;60;1416379557;30701264;233823160;88.39;103684;30199628;208052256;76.23
axle;60;1416379617;27613020;236911404;89.56;103768;32230204;209095016;76.62
axle;60;1416379677;29166860;235357564;88.97;103820;32285432;207480528;76.03
axle;60;1416379737;29017384;235507040;89.03;103888;32287156;207634492;76.08
axle;60;1416379797;26998924;237525500;89.79;103988;34467852;207478824;76.02
axle;60;1416379857;26985356;237539068;89.80;104040;34469176;207478828;76.02
axle;60;1416379917;24671044;239853380;90.67;104120;36781084;207489088;76.03
axle;60;1416379977;24677188;239847236;90.67;104184;36782056;207477616;76.02
