Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

07:33:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:34:53 AM     all     19.23      0.00      3.27      0.00      0.00     77.50
07:35:53 AM     all     10.89      0.00      1.88      0.00      0.00     87.24
07:36:53 AM     all      5.71      0.00      1.21      0.00      0.00     93.08
07:37:53 AM     all      5.75      0.00      0.90      0.00      0.00     93.36
07:38:53 AM     all      5.82      0.00      1.06      0.00      0.00     93.12
07:39:53 AM     all      4.67      0.00      2.33      0.00      0.00     93.00
07:40:53 AM     all     27.88      0.00      3.08      0.00      0.00     69.04
07:41:53 AM     all     19.99      0.00      0.77      0.00      0.00     79.23
07:42:53 AM     all      8.59      0.00      0.77      0.00      0.00     90.64
